condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
lr_splitseq_dual-t4-r3-matchbox,38d46ed4943d813ffaa7f7e5f377f0966b4f0634a901867711955f6588c779ab,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/38d46ed4943d813ffaa7f7e5f377f0966b4f0634a901867711955f6588c779ab/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,4,3,5764421,,0,[],1544.755180295,6104.44,0.91,41968,3731.6081367011025,0,
lr_splitseq_dual-t4-r3-seqproc,086daa5229137f252a97f61ec06c4a73d09b70a25b49f28990db67966b1b4c1e,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/086daa5229137f252a97f61ec06c4a73d09b70a25b49f28990db67966b1b4c1e/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,4,3,5764421,,0,[],7.77432744,30.14,0.61,19456,741468.7694193646,0,
lr_splitseq_dual-t4-r3-splitcode,11c1140eeb4c532d299a643832775bcca0e9cb1b3494b30a32417bb387be097e,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/11c1140eeb4c532d299a643832775bcca0e9cb1b3494b30a32417bb387be097e/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,4,3,5764421,,0,[],113.860288901,440.82,1.84,167364,50627.141873951216,2127,
lr_splitseq_dual-t1-r3-splitcode,67b66a8055f2c21422d7d5e6685910b19760192f76b773f4337299a7303f30d3,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/67b66a8055f2c21422d7d5e6685910b19760192f76b773f4337299a7303f30d3/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,1,3,5764421,,0,[],439.098822539,436.73,1.74,116608,13127.844357833626,2128,
lr_splitseq_dual-t1-r3-matchbox,eb228b2d89dcfe3f8d8a8a515ae5ffc2699bcb0beb01e116b1c85ab8c89b6ff8,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/eb228b2d89dcfe3f8d8a8a515ae5ffc2699bcb0beb01e116b1c85ab8c89b6ff8/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,1,3,5764421,,0,[],6118.033169221,6109.98,0.84,39924,942.2016586964622,0,
lr_splitseq_dual-t1-r3-seqproc,ad1e161510460bfa3287e011b63723b9077b41407ac60dd055401477fbe73cdb,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/ad1e161510460bfa3287e011b63723b9077b41407ac60dd055401477fbe73cdb/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,1,3,5764421,,0,[],30.603621007,29.89,0.61,11264,188357.4822300112,0,
lr_splitseq_dual-t4-r1-seqproc,ae4cf80a124cd084a16e9ca8fef97984e0a3480debc52064d69da923f771c58c,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/ae4cf80a124cd084a16e9ca8fef97984e0a3480debc52064d69da923f771c58c/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,4,1,5764421,,0,[],7.775370817,30.09,0.6,21504,741369.2717261435,0,
lr_splitseq_dual-t4-r1-splitcode,894b7297c65bfe23b87d9337e1a3856a30e5f9b0b46dbb4be8d7fc4f5063452b,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/894b7297c65bfe23b87d9337e1a3856a30e5f9b0b46dbb4be8d7fc4f5063452b/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,4,1,5764421,,0,[],114.330942496,442.52,1.84,158820,50418.73069664999,2127,
lr_splitseq_dual-t4-r1-matchbox,d4dd833b546bd98bdde636e909c5aaf5c6c568259cd60ee1ff23b870af117be4,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/d4dd833b546bd98bdde636e909c5aaf5c6c568259cd60ee1ff23b870af117be4/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,4,1,5764421,,0,[],1543.345453752,6097.56,0.9,42500,3735.016671728431,0,
lr_splitseq_dual-t32-r3-seqproc,faab5cbb066992f800a4db1117409c94904d8ce38dfe5ad468778b8505e5a2bc,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/faab5cbb066992f800a4db1117409c94904d8ce38dfe5ad468778b8505e5a2bc/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,32,3,5764421,,0,[],4.219774305,34.44,0.8,114688,1366049.5996598094,0,
