measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,1,3,6107.126542297333,6103.257527811,9.577363227048165,943.8858690232055,944.4826756421456,39921.333333333336,39924
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,4,3,1544.7502455253332,1544.755180295,1.4023309005173001,3731.622107665373,3731.6081367011025,42312.0,42500
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,16,3,397.97560452733336,397.185654034,1.863629732454636,14484.56890325447,14513.165169622547,48929.333333333336,49804
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,32,3,202.94626139166667,202.880127243,0.5038648540841619,28403.798312667805,28412.940578924496,57384.0,57928
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,1,3,30.519808038333334,30.503694617,0.0770307885618584,188875.54782117426,188974.5184108758,11264.0,11264
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,4,3,7.757319668666667,7.77432744,0.030366396642281582,743102.033709982,741468.7694193646,20480.0,21504
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,16,3,3.5190050866666667,3.518956591,0.05009240410618809,1638303.9229948532,1638105.174341436,58026.666666666664,59392
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,32,3,4.270642035,4.270893149,0.050742639017326376,1349905.6131981525,1349699.184431645,114688.0,114688
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,1,3,446.24248454633334,447.588053098,6.574965753633113,12919.565646941948,12878.853579985685,116828.0,117620
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,4,3,114.26533928966667,114.330942496,0.37655941605161647,50448.04318031489,50418.73069664999,162788.0,167364
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,16,3,32.82537507666667,33.106272385,1.0987107556222617,175741.5702666383,174118.69669180215,331848.0,334636
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,32,3,17.239450066666667,17.236188539,0.10008930170705464,334381.34523332486,334437.1052194604,541908.0,545004
