condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
lr_splitseq_forward-t16-r2-splitcode,36644358e24f79cd17fd21ae7e8a30304a335ca25389184280ab85adbcefcb4e,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/36644358e24f79cd17fd21ae7e8a30304a335ca25389184280ab85adbcefcb4e/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],16.890177471,223.55,0.71,331072,341288.3618243421,0,
lr_splitseq_forward-t16-r2-matchbox,410496cb808504a12a1116c156d69b54a91b2d0b5bd5bc2df1beff8f5ea3776d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/410496cb808504a12a1116c156d69b54a91b2d0b5bd5bc2df1beff8f5ea3776d/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],204.513975252,3101.66,1.16,33896,28185.951560997924,0,
lr_splitseq_forward-t16-r2-seqproc,3c49bac07477cccdd3db10fe130e0ea6260f67b9630823809095847f00b06570,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/3c49bac07477cccdd3db10fe130e0ea6260f67b9630823809095847f00b06570/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],2.818175521,14.61,0.71,38912,2045444.2801896723,0,
lr_splitseq_forward-t1-r1-seqproc,bf13a2e1c7f2d55d5d4387c780f815e133e3c67ef72ca1aa09418b0a007d8bfd,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/bf13a2e1c7f2d55d5d4387c780f815e133e3c67ef72ca1aa09418b0a007d8bfd/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],14.683732239,14.02,0.59,10240,392571.9228718769,0,
lr_splitseq_forward-t1-r1-matchbox,b2682366ac0cb7ee5e3067f35b30494554551477efd1faca39762b545652657d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b2682366ac0cb7ee5e3067f35b30494554551477efd1faca39762b545652657d/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],3071.224615876,3066.78,0.85,36504,1876.9128673305534,0,
lr_splitseq_forward-t1-r1-splitcode,f0610013ed216b168ba695c449a1e3b8f5e9872bfc42008a6afe07115bfb3dd7,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/f0610013ed216b168ba695c449a1e3b8f5e9872bfc42008a6afe07115bfb3dd7/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],220.93416384,220.03,0.61,116244,26091.125518163775,0,
lr_splitseq_forward-t4-r1-splitcode,e8d8d800fa43e9278c77ca00765468f5db88c06e95291da34f2453a93ec83f24,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/e8d8d800fa43e9278c77ca00765468f5db88c06e95291da34f2453a93ec83f24/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],57.748297904,224.65,0.72,160128,99819.75589276582,0,
lr_splitseq_forward-t4-r1-matchbox,5ece908031a13a901badfbb23ce623ffe19fba4e8439527461c27a05034de45d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/5ece908031a13a901badfbb23ce623ffe19fba4e8439527461c27a05034de45d/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],779.168795372,3073.0,0.85,34076,7398.167167677553,0,
lr_splitseq_forward-t4-r1-seqproc,b3504da0265c626848f60fd3bae3e3e53bfc5e9b8bf0ff5b426ce220fd463cdf,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b3504da0265c626848f60fd3bae3e3e53bfc5e9b8bf0ff5b426ce220fd463cdf/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],3.719190941,14.03,0.57,16384,1549912.6265483126,0,
lr_splitseq_forward-t4-r3-splitcode,6a16179d45d6c99661d218d6c39e154ce71ce54a37e187d9c8808b2991d54cc4,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/6a16179d45d6c99661d218d6c39e154ce71ce54a37e187d9c8808b2991d54cc4/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,4,3,5764421,,0,[],57.588739737,222.63,0.69,162172,100096.32136986036,0,
