measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,lr_splitseq_forward,matchbox,forward-only-supplementary,1,3,3075.490827026333,3076.044004636,4.018282040946183,1874.3114143867579,1873.9722160386084,36554.666666666664,36660
timing,dev-null,lr_splitseq_forward,matchbox,forward-only-supplementary,4,3,780.3617046556666,779.168795372,2.3301767177281687,7386.901705834385,7398.167167677553,35628.0,36968
timing,dev-null,lr_splitseq_forward,matchbox,forward-only-supplementary,16,3,206.1397852926667,206.537129863,1.4680375348926227,27964.598999920156,27909.85332188769,33648.0,35304
timing,dev-null,lr_splitseq_forward,matchbox,forward-only-supplementary,32,3,106.245886494,106.124172439,0.34652735539440377,54255.858833523576,54317.700364762604,30188.0,31548
timing,dev-null,lr_splitseq_forward,seqproc,forward-only-supplementary,1,3,14.649879270333335,14.683446876,0.058388104444208645,393483.255347142,392579.5522454547,10240.0,10240
timing,dev-null,lr_splitseq_forward,seqproc,forward-only-supplementary,4,3,3.7528963296666666,3.769544132,0.02919044192214231,1536054.835010428,1529209.0497270771,15701.333333333334,16384
timing,dev-null,lr_splitseq_forward,seqproc,forward-only-supplementary,16,3,2.8013983173333337,2.818056664,0.0289560969627514,2057841.627127847,2045530.5507653907,39253.333333333336,39936
timing,dev-null,lr_splitseq_forward,seqproc,forward-only-supplementary,32,3,3.1184590730000004,3.118603026,0.050001757913273895,1848800.7002355894,1848398.450184791,71680.0,72704
timing,dev-null,lr_splitseq_forward,splitcode,forward-only-supplementary,1,3,221.90707201133333,220.93416384,1.9501724316844011,25978.06508506701,26091.125518163775,115798.66666666667,116244
timing,dev-null,lr_splitseq_forward,splitcode,forward-only-supplementary,4,3,57.32370675266666,57.588739737,0.6025369603058371,100566.5601972644,100096.32136986036,160149.33333333334,162172
timing,dev-null,lr_splitseq_forward,splitcode,forward-only-supplementary,16,3,16.554441318666665,16.486457241,0.3074343607081704,348289.5590354577,349645.8284357491,328760.0,331072
timing,dev-null,lr_splitseq_forward,splitcode,forward-only-supplementary,32,3,8.610398918666668,8.62811285,0.17473965826449664,669656.4528528672,668097.5434854216,545192.0,545704
