condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
scirnaseq3-t1-r1-seqproc,93115785f3d3a47b0cb148ffd07de6853a2534008f4a26a4ef151e32fff57470,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/93115785f3d3a47b0cb148ffd07de6853a2534008f4a26a4ef151e32fff57470/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,1,1,22088821,,0,[],16.135764829,15.47,0.61,9216,1368935.4817752966,0,
scirnaseq3-t1-r1-splitcode,7e68d9c2fde89a24c4b92209116a87250f083cc40aca76a77ab3c3a3ef5521a1,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/7e68d9c2fde89a24c4b92209116a87250f083cc40aca76a77ab3c3a3ef5521a1/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,1,1,22088821,,0,[],26.948167333,26.46,0.43,53796,819678.0407011434,0,
scirnaseq3-t1-r1-matchbox,53d8847be2627ce646e3dc19ca777bb5a3179aaa4b6936bb1815552873974abb,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/53d8847be2627ce646e3dc19ca777bb5a3179aaa4b6936bb1815552873974abb/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,1,1,22088821,,0,[],237.018113527,235.32,1.37,3196456,93194.65365453491,0,
scirnaseq3-t32-r1-matchbox,4dde0843a89ced3064e29ba3c71f18d1c034df8103f2a2d3f8718c47bc3bc276,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/4dde0843a89ced3064e29ba3c71f18d1c034df8103f2a2d3f8718c47bc3bc276/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,32,1,22088821,,0,[],75.507811175,390.65,14.18,3175948,292536.8999083557,0,
scirnaseq3-t32-r1-seqproc,29125a4a4ca1a4b1cddbf0a4eef228464267c1b758aeb260c3570b998a1a46a1,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/29125a4a4ca1a4b1cddbf0a4eef228464267c1b758aeb260c3570b998a1a46a1/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,32,1,22088821,,0,[],8.224508355,23.06,0.96,74752,2685731.4804199017,0,
scirnaseq3-t32-r1-splitcode,6ad22e4ac3e8856419ee28b33bdf299a668680ecc3f1033da4867eb801a742e3,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/6ad22e4ac3e8856419ee28b33bdf299a668680ecc3f1033da4867eb801a742e3/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,32,1,22088821,,0,[],10.327387207,30.25,0.66,1861920,2138858.6054978156,0,
scirnaseq3-t1-r3-seqproc,c1561bc0e113100d448e899e0addc6e59b1a6399d803e227ef064bad14b8c52d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/c1561bc0e113100d448e899e0addc6e59b1a6399d803e227ef064bad14b8c52d/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,1,3,22088821,,0,[],16.13453628,15.5,0.56,9216,1369039.7180723932,0,
scirnaseq3-t1-r3-matchbox,9e771652d9aea7e55c36367f4d24a9c5f4c2f782561221c540a5b2904c51c2cd,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/9e771652d9aea7e55c36367f4d24a9c5f4c2f782561221c540a5b2904c51c2cd/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,1,3,22088821,,0,[],232.461379874,230.69,1.45,3196028,95021.46555256924,0,
scirnaseq3-t1-r3-splitcode,8751abba361e836e43eeabe3d0a51cb5bc08a7ed7bff40fecac49a966dc362ea,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/8751abba361e836e43eeabe3d0a51cb5bc08a7ed7bff40fecac49a966dc362ea/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,1,3,22088821,,0,[],26.748998853,26.25,0.43,53968,825781.2234913852,0,
scirnaseq3-t16-r1-matchbox,e5bc86caae85838c0ab39f86821281139a12c87c7d466dfb8942f5bceb315672,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/e5bc86caae85838c0ab39f86821281139a12c87c7d466dfb8942f5bceb315672/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,16,1,22088821,,0,[],72.65463158,304.19,2.26,3185220,304024.95366971893,0,
scirnaseq3-t16-r1-splitcode,9fd8b6d82bedf34497bd95e1428b12b852e1cecd7d242f2b470a32a2909ec299,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/9fd8b6d82bedf34497bd95e1428b12b852e1cecd7d242f2b470a32a2909ec299/attempt-0001,scirnaseq3,splitcode,timing,dev-null,best-practical-uncompressed,16,1,22088821,,0,[],11.629077632,32.96,0.58,913772,1899447.3765673114,0,
scirnaseq3-t16-r1-seqproc,87b644c22d853d87d071ca7a0c935f903d63c1d9b62f8c699ff51b5a26a50859,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/87b644c22d853d87d071ca7a0c935f903d63c1d9b62f8c699ff51b5a26a50859/attempt-0001,scirnaseq3,seqproc,timing,dev-null,best-practical-uncompressed,16,1,22088821,,0,[],6.422416195,19.94,0.9,39936,3439331.9164205925,0,
scirnaseq3-t4-r3-matchbox,eddfedea7248c90ca0988238579af62e2f062bb7caeae40d99d0fa1d44cd8c04,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/eddfedea7248c90ca0988238579af62e2f062bb7caeae40d99d0fa1d44cd8c04/attempt-0001,scirnaseq3,matchbox,timing,dev-null,best-practical-uncompressed,4,3,22088821,,0,[],87.872095271,232.43,1.45,3195096,251374.69331848132,0,
