measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,1,3,233.99717874299998,232.512042828,2.616328899548535,94405.62672089988,95000.76095559546,3196442.6666666665,3196844
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,4,3,88.240997976,87.872095271,0.9584188787022839,250343.3736620352,251374.69331848132,3193668.0,3195096
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,16,3,72.20426750133333,72.505193519,0.6549126202443145,305938.1299249726,304651.5694660082,3186726.6666666665,3187664
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,32,3,75.15647169533334,75.507811175,0.8341190822837543,293928.7203535621,292536.8999083557,3177689.3333333335,3178868
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,1,3,16.118408006666666,16.13453628,0.029005448747014738,1370412.5573097256,1369039.7180723932,9216.0,9216
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,4,3,6.422652967,6.422774248,0.15035383418616785,3440462.362384072,3439140.1825898336,15018.666666666666,15360
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,16,3,6.455802149,6.472438524,0.02891313969727233,3421591.4046409954,3412750.993013526,39594.666666666664,39936
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,32,3,7.256414507333333,6.772906227,0.838394038358073,3069650.42512813,3261350.4837766006,74410.66666666667,74752
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,1,3,26.965546638333336,26.948167333,0.2257397476458367,819187.9947696071,819678.0407011434,53824.0,53968
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,4,3,12.881142082333334,12.881150265,0.00036051765245122974,1714818.5207762246,1714817.430553435,186512.0,187136
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,16,3,11.664447614333334,11.679247833,0.03076684335566444,1893696.498328345,1891287.9764043964,917080.0,931948
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,32,3,10.378555615333333,10.380712477,0.05012479311815096,2128346.700873978,2127871.381558929,1862893.3333333333,1877700
