condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
splitseq_pe-t4-r2-splitcode,4f706d5451ec10875b837e1204fe6f041627f1675e69307d997f51a991f71e72,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/4f706d5451ec10875b837e1204fe6f041627f1675e69307d997f51a991f71e72/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,4,2,77621181,,0,[],117.216323258,457.97,2.49,275920,662204.5363865511,0,
splitseq_pe-t4-r2-matchbox,be1511882668348fe64e8391201720a34b937453137362822232e600d5a12bb2,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/be1511882668348fe64e8391201720a34b937453137362822232e600d5a12bb2/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,4,2,77621181,,0,[],1012.907346632,3802.09,5.41,7932784,76632.06438189711,0,
splitseq_pe-t4-r2-seqproc,bd43222285eea6711065a9883977fa66539c77615087decb3d9506f9bb9c8a7a,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/bd43222285eea6711065a9883977fa66539c77615087decb3d9506f9bb9c8a7a/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,4,2,77621181,,0,[],29.402920477,113.79,3.07,18432,2639913.986119781,0,
splitseq_pe-t16-r2-seqproc,b9ecbb96ede0e53f5ba4d22500919b7250469166875a7de6e3bcb6327244da5f,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b9ecbb96ede0e53f5ba4d22500919b7250469166875a7de6e3bcb6327244da5f/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,16,2,77621181,,0,[],25.546317128,128.03,3.83,51200,3038448.9713753466,0,
splitseq_pe-t16-r2-splitcode,b08671a679df60d3b8f6390bac13ac6422e6c436674cfad7f5ebc1c1079d62e4,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b08671a679df60d3b8f6390bac13ac6422e6c436674cfad7f5ebc1c1079d62e4/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,16,2,77621181,,0,[],48.976068814,474.24,2.67,720740,1584879.7765861454,0,
splitseq_pe-t16-r2-matchbox,c38bc9b779e7ffde234b253d24da1853cb39524458ae103041b21d02118b244d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/c38bc9b779e7ffde234b253d24da1853cb39524458ae103041b21d02118b244d/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,16,2,77621181,,0,[],368.1176118,3941.03,8.62,7949680,210859.73208522264,0,
splitseq_pe-t4-r3-seqproc,a231530021e66556c8170f24575a2decc21183e0176cd43efbed220739854f9d,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/a231530021e66556c8170f24575a2decc21183e0176cd43efbed220739854f9d/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,4,3,77621181,,0,[],29.401599663,113.85,3.05,19456,2640032.579508972,0,
splitseq_pe-t4-r3-splitcode,f056c918968b7a1b425500ffbb55e4bd64433961cf3647eec53ee1686cc2eadc,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/f056c918968b7a1b425500ffbb55e4bd64433961cf3647eec53ee1686cc2eadc/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,4,3,77621181,,0,[],116.258211531,457.26,2.41,275356,667661.9223520609,0,
splitseq_pe-t4-r3-matchbox,b7f902eb313682351aed2b3e75218683433612457a882e9e85d25ef7887f5552,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b7f902eb313682351aed2b3e75218683433612457a882e9e85d25ef7887f5552/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,4,3,77621181,,0,[],1020.577017099,3840.23,5.97,7931788,76056.17185133068,0,
splitseq_pe-t32-r2-seqproc,8d189a40de715ff962f7c42fcff7599612eb601ffd33c75ebc0115aa1f5e51a1,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/8d189a40de715ff962f7c42fcff7599612eb601ffd33c75ebc0115aa1f5e51a1/attempt-0001,splitseq_pe,seqproc,timing,dev-null,best-practical-uncompressed,32,2,77621181,,0,[],27.097125906,132.92,4.18,94208,2864554.0220489833,0,
splitseq_pe-t32-r2-splitcode,b5629d8031c997ca0718dad9f14ac303b88255f471f92e3a17ce5b4b49457a98,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b5629d8031c997ca0718dad9f14ac303b88255f471f92e3a17ce5b4b49457a98/attempt-0001,splitseq_pe,splitcode,timing,dev-null,best-practical-uncompressed,32,2,77621181,,0,[],48.647774664,467.87,2.91,1314968,1595575.1632240785,0,
splitseq_pe-t32-r2-matchbox,416f860f0b2fc9b54d017191e741c63ec5229db5709d1c5629850412b791b9c2,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/416f860f0b2fc9b54d017191e741c63ec5229db5709d1c5629850412b791b9c2/attempt-0001,splitseq_pe,matchbox,timing,dev-null,best-practical-uncompressed,32,2,77621181,,0,[],279.393616017,4124.77,12.68,7936552,277820.1667831847,0,
