condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
tenx_v2-t16-r2-splitcode,4cf244d6bc274f2f3502ee7ae665146b3f7e5ef9d46d6c47d294b75693cfadaf,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/4cf244d6bc274f2f3502ee7ae665146b3f7e5ef9d46d6c47d294b75693cfadaf/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],68.349192149,143.67,5.32,627564,3429187.8313506762,0,
tenx_v2-t16-r2-seqproc,4f0017b633e478c4324ac49c8ef14a3f339cd0a5152cfbedeca775cd7c3d8479,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/4f0017b633e478c4324ac49c8ef14a3f339cd0a5152cfbedeca775cd7c3d8479/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],42.316654956,130.68,9.03,39936,5538769.977062361,0,
tenx_v2-t16-r2-matchbox,59d460dfa409d5eb484d3dd352ffa6dd6517629d02b276c4875af563f08d5fa8,2,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/59d460dfa409d5eb484d3dd352ffa6dd6517629d02b276c4875af563f08d5fa8/attempt-0002,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],563.307712474,1946.74,12.57,66092,416082.03262585035,0,
tenx_v2-t1-r3-matchbox,31c845225d97b9b9e2602d3c48b0bc405458bdc885b27e6e2429ffde0403bccc,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/31c845225d97b9b9e2602d3c48b0bc405458bdc885b27e6e2429ffde0403bccc/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],1469.185979021,1460.64,6.68,36464,159532.02749469597,0,
tenx_v2-t1-r3-splitcode,0f716b168a27eff6dc92763c02fc8eaa46e474e7a86da11d7e0060a349f215ad,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/0f716b168a27eff6dc92763c02fc8eaa46e474e7a86da11d7e0060a349f215ad/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],142.740788321,137.97,4.56,32936,1642012.9155579123,0,
tenx_v2-t1-r3-seqproc,e71377ddf96c3eda21e622e202f5d28415ab83bf3b73155c69d91c610a0fccc1,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/e71377ddf96c3eda21e622e202f5d28415ab83bf3b73155c69d91c610a0fccc1/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],102.346769615,96.77,5.41,9216,2290079.2949467828,0,
tenx_v2-t16-r3-splitcode,6921c2d1c3179dbd285ba023e723ca5c661e6145b61646d9c8e1593e3d634b8f,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/6921c2d1c3179dbd285ba023e723ca5c661e6145b61646d9c8e1593e3d634b8f/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],69.489821889,144.8,5.29,635568,3372899.9676296753,0,
tenx_v2-t16-r3-matchbox,3332e39c63619978ce3493c9afe03ebfaad108e66fdefb2d6186ad1f0bc2c176,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/3332e39c63619978ce3493c9afe03ebfaad108e66fdefb2d6186ad1f0bc2c176/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],520.604503703,1928.43,9.14,39800,450211.6603541964,0,
tenx_v2-t16-r3-seqproc,e3ce9e552f4b39662b89a57e8df1088fc7fc83437aef673e6b09acc46974e62f,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/e3ce9e552f4b39662b89a57e8df1088fc7fc83437aef673e6b09acc46974e62f/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],42.212298627,130.38,9.23,39936,5552462.8040531175,0,
tenx_v2-t1-r1-splitcode,24262d47ed4a3a7cc090d285ef1ae2858d2e6f7f30d6a57579d9b7f976a59e24,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/24262d47ed4a3a7cc090d285ef1ae2858d2e6f7f30d6a57579d9b7f976a59e24/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,1,1,234382218,,0,[],142.548340632,137.76,4.58,31828,1644229.7185701835,0,
tenx_v2-t1-r1-seqproc,7883e7e6f14b63d31670d0b56298c9a18b1c2925670ae03a05aaf7c0a1a69de4,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/7883e7e6f14b63d31670d0b56298c9a18b1c2925670ae03a05aaf7c0a1a69de4/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,1,1,234382218,,0,[],104.09675132,98.05,5.87,9216,2251580.5251164297,0,
tenx_v2-t1-r1-matchbox,dd54cee5cb3ad8ffcbd6593e281e33f340f7fdf75107650354bca1ede517f2b9,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/dd54cee5cb3ad8ffcbd6593e281e33f340f7fdf75107650354bca1ede517f2b9/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,1,234382218,,0,[],1465.176484046,1457.35,5.94,38312,159968.59119166798,0,
tenx_v2-t16-r1-splitcode,f787e4d6ec11db8d47153b03ae4c17739817817bc6c6073ee58afbb10de7bbe8,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/f787e4d6ec11db8d47153b03ae4c17739817817bc6c6073ee58afbb10de7bbe8/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,16,1,234382218,,0,[],68.701724927,144.5,5.3,635284,3411591.4592980915,0,
tenx_v2-t16-r1-seqproc,037e328268ad100ed64ac7a3b7b1e84b1c54734e45ef19cc93bc77d961558335,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/037e328268ad100ed64ac7a3b7b1e84b1c54734e45ef19cc93bc77d961558335/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,16,1,234382218,,0,[],42.412008815,131.16,9.01,39936,5526317.2990076635,0,
tenx_v2-t16-r1-matchbox,b20011ebe5bb355547b52132a8be896ca6001edee002b7d2036777e72e85e736,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/b20011ebe5bb355547b52132a8be896ca6001edee002b7d2036777e72e85e736/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,1,234382218,,0,[],519.584470853,1921.67,9.33,35892,451095.50255652476,0,
tenx_v2-t32-r2-splitcode,198e6a2695565fc9bfbe5b442ac852a4cfb8b382bcf9bccfc63b850018cb8c00,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/198e6a2695565fc9bfbe5b442ac852a4cfb8b382bcf9bccfc63b850018cb8c00/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,32,2,234382218,,0,[],68.168362444,144.55,5.97,1276268,3438284.412252736,0,
tenx_v2-t32-r2-seqproc,9a75e2105c09e8317f4263abb1ca4007cf3813fb9d6de9c084b7c04da4bd75e9,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/9a75e2105c09e8317f4263abb1ca4007cf3813fb9d6de9c084b7c04da4bd75e9/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,32,2,234382218,,0,[],43.168970588,150.04,10.26,75776,5429414.109428706,0,
tenx_v2-t32-r2-matchbox,9efe701a9d2eb313ac77644358831dc05e1f45873956d02c8e216d717210b3b7,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/9efe701a9d2eb313ac77644358831dc05e1f45873956d02c8e216d717210b3b7/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,32,2,234382218,,0,[],573.116348,2327.11,21.27,41620,408960.97069630265,0,
tenx_v2-t4-r2-splitcode,2c620f48dd085d0da14ed0c0145d11da5bdc3537da879ed3835ad09bba6beedd,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/2c620f48dd085d0da14ed0c0145d11da5bdc3537da879ed3835ad09bba6beedd/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,4,2,234382218,,0,[],68.905075165,144.48,4.84,154404,3401523.2903925967,0,
tenx_v2-t4-r2-matchbox,641e3b2fa4cf2e64cdfa81ed923a74bd29ffa2167480abb1f291680413f12287,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/641e3b2fa4cf2e64cdfa81ed923a74bd29ffa2167480abb1f291680413f12287/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,4,2,234382218,,0,[],577.355909071,1465.32,6.63,36612,405957.9443417058,0,
tenx_v2-t4-r2-seqproc,89835503c8578aac6d4f66e0c305661295df33d20d65fcd7a3c1f30b9f6bf833,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/89835503c8578aac6d4f66e0c305661295df33d20d65fcd7a3c1f30b9f6bf833/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,4,2,234382218,,0,[],36.712201223,98.34,6.07,14336,6384313.939017112,0,
tenx_v2-t32-r1-splitcode,061e8556876f4fce027c00175cbdd0e5adf669b211c913a75dfab8fb202c1d2a,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/061e8556876f4fce027c00175cbdd0e5adf669b211c913a75dfab8fb202c1d2a/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,32,1,234382218,,0,[],67.415264163,143.38,5.94,1280776,3476693.6080425186,0,
tenx_v2-t32-r1-seqproc,c97207a3d25eadf8f0008eea7426409b8ffdcb0fe2a59c9e8f2d332ae056fc5b,1,/scratch1/seqproc-ecosystem/campaigns/journal-performance-2026-08-17/runs/c97207a3d25eadf8f0008eea7426409b8ffdcb0fe2a59c9e8f2d332ae056fc5b/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,32,1,234382218,,0,[],43.569085567,143.67,10.01,75776,5379553.299083359,0,
