measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,1,3,1468.7333721323332,1469.185979021,3.353570307042548,159581.74400792993,159532.02749469597,38036.0,39332
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,4,3,582.96516476,581.464692616,6.49089346310786,402084.95291471324,403089.3379708376,37317.333333333336,37944
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,16,3,534.4988956766666,520.604503703,24.954379589573204,439129.7318455239,450211.6603541964,47261.333333333336,66092
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,32,3,575.029330041,575.085019517,1.8857541301730847,407603.38031335734,407560.9867161067,39086.666666666664,41620
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,1,3,102.92782523800001,102.346769615,1.0123254167422289,2277297.2039340795,2290079.2949467828,9216.0,9216
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,4,3,36.612238364666666,36.56231053,0.0865703913413714,6401768.941078476,6410487.0453328,14336.0,14336
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,16,3,42.31365413266667,42.316654956,0.09988890580668598,5539183.360041047,5538769.977062361,39936.0,39936
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,32,3,43.31889327933334,43.218623683,0.21809056161760076,5410714.587426354,5423176.353766999,75776.0,75776
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,1,3,142.21114594866665,142.548340632,0.7568446928254128,1648159.5366875995,1644229.7185701835,32329.333333333332,32936
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,4,3,68.821209228,68.905075165,0.23644543083746486,3405695.2497537187,3401523.2903925967,152808.0,154404
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,16,3,68.84691298833333,68.701724927,0.584010899563024,3404559.752759481,3411591.4592980915,632805.3333333334,635568
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,32,3,67.76070453566666,67.698487,0.380384702005234,3459042.1871232465,3462148.541074485,1278092.0,1280776
