condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
lr_splitseq_dual-t4-r3-matchbox,82daecacab9f78428dcd205d2824084764a346aba063614f5e418dc4a742ba46,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/82daecacab9f78428dcd205d2824084764a346aba063614f5e418dc4a742ba46/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,4,3,5764421,,0,[],19.738942685,60.51,1.12,709632,292032.91645304253,0,
lr_splitseq_dual-t4-r3-seqproc,603983f3f223d225a24e7b7769c60a33c86ec05782225effd84b78fc74b564d5,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/603983f3f223d225a24e7b7769c60a33c86ec05782225effd84b78fc74b564d5/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,4,3,5764421,,0,[],9.777245132,38.0,0.58,22528,589575.1740061825,0,
lr_splitseq_dual-t4-r3-splitcode,128daac97ef1ddcff47a363e070604b59f1e62421bc5fb0368fc3afcd67ba521,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/128daac97ef1ddcff47a363e070604b59f1e62421bc5fb0368fc3afcd67ba521/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,4,3,5764421,,0,[],195.516440181,763.45,1.94,162164,29483.050093708578,2136,
lr_splitseq_dual-t1-r3-splitcode,59aead86cffb2cfdbde865f32aec08e1a013600e4e064afb9a821b0a6ceb3561,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/59aead86cffb2cfdbde865f32aec08e1a013600e4e064afb9a821b0a6ceb3561/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,1,3,5764421,,0,[],773.451142544,770.81,1.76,115536,7452.857307883638,2133,
lr_splitseq_dual-t1-r3-matchbox,a55056bc5bd76a48c79c4c56063cd1b665ec8772cde492d1e5935ef1ce1c4c61,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/a55056bc5bd76a48c79c4c56063cd1b665ec8772cde492d1e5935ef1ce1c4c61/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,1,3,5764421,,0,[],61.74989256,60.6,1.04,711680,93351.1097917933,0,
lr_splitseq_dual-t1-r3-seqproc,002286a2eeb06e80bca2ef84ba338442db78e15faf1a03ee3a715fd6b5fca7f6,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/002286a2eeb06e80bca2ef84ba338442db78e15faf1a03ee3a715fd6b5fca7f6/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,1,3,5764421,,0,[],38.562312785,37.91,0.55,12288,149483.28001328406,0,
lr_splitseq_dual-t4-r1-seqproc,3576ab6c7a5e6bdae720a53eed39dd210eb595987c5933bd80ab87d46adeca47,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/3576ab6c7a5e6bdae720a53eed39dd210eb595987c5933bd80ab87d46adeca47/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,4,1,5764421,,0,[],9.776808822,37.98,0.61,23552,589601.4849987419,0,
lr_splitseq_dual-t4-r1-splitcode,02779c8c9a0f1f6d8282d164c92dd673392916678dea0a1173d3ab5a056a3fe4,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/02779c8c9a0f1f6d8282d164c92dd673392916678dea0a1173d3ab5a056a3fe4/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,4,1,5764421,,0,[],195.155690999,763.38,1.97,160144,29537.550099061868,2137,
lr_splitseq_dual-t4-r1-matchbox,ae7f4f39d508e822559994353f1ac17e52e03884b6c5fc4bf556fdbf3a8f7ac6,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/ae7f4f39d508e822559994353f1ac17e52e03884b6c5fc4bf556fdbf3a8f7ac6/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,4,1,5764421,,0,[],19.738992574,60.52,1.08,709632,292032.17835913453,0,
lr_splitseq_dual-t32-r3-seqproc,cdc822da0167e6a20ee7bb0f4987e9486b563ff25e75226ceb6ef78b2327fd24,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/cdc822da0167e6a20ee7bb0f4987e9486b563ff25e75226ceb6ef78b2327fd24/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,32,3,5764421,,0,[],3.769124538,42.66,0.77,134144,1529379.287387187,0,
lr_splitseq_dual-t32-r3-splitcode,2e6ebc1c35f18553c31a7b222630fd5e1dd195a52d0dab5bad7d31d2b6209a6d,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/2e6ebc1c35f18553c31a7b222630fd5e1dd195a52d0dab5bad7d31d2b6209a6d/attempt-0001,lr_splitseq_dual,splitcode,timing,dev-null,dual-pass-no-reconciliation,32,3,5764421,,0,[],28.8501921,779.35,2.04,535712,199805.29003132702,2141,
lr_splitseq_dual-t32-r3-matchbox,455fd1548f3d8c203392957db10e2f63ce599c539498948b82fcdca2e0c67ddb,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/455fd1548f3d8c203392957db10e2f63ce599c539498948b82fcdca2e0c67ddb/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,32,3,5764421,,0,[],12.129551629,75.39,1.83,701148,475237.7644543847,0,
lr_splitseq_dual-t16-r2-matchbox,c524e14b5a56003fa0963f34ab3cbe68a5abd0e43a2a85c3e041ffc8e22c68db,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/c524e14b5a56003fa0963f34ab3cbe68a5abd0e43a2a85c3e041ffc8e22c68db/attempt-0001,lr_splitseq_dual,matchbox,timing,dev-null,native-dual-orientation,16,2,5764421,,0,[],12.379904178,68.53,1.23,705536,465627.2711903376,0,
lr_splitseq_dual-t16-r2-seqproc,47e837bf4042a689b567ba937407da64cb7689cb225e3e8e8a5de6e923828f01,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/47e837bf4042a689b567ba937407da64cb7689cb225e3e8e8a5de6e923828f01/attempt-0001,lr_splitseq_dual,seqproc,timing,dev-null,native-dual-orientation,16,2,5764421,,0,[],3.268457183,41.56,0.7,70656,1763651.9854021901,0,
