measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,1,3,61.81179228133333,61.791369439,0.07424847634385676,93257.71555322823,93288.44873215823,711540.0,711680
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,4,3,19.757020195666666,19.738992574,0.03126797175759279,291766.1954884114,292032.17835913453,709973.3333333334,710656
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,16,3,12.479871554666667,12.529806802,0.08657430129514108,461912.34106184123,460056.65459102584,705696.0,708064
timing,dev-null,lr_splitseq_dual,matchbox,native-dual-orientation,32,3,12.012487537333334,11.978768821,0.10437290112467842,479893.1135111029,481219.8220149623,702526.6666666666,705308
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,1,3,38.546356244,38.562312785,0.027710276082753692,149545.21123442464,149483.28001328406,11946.666666666666,12288
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,4,3,9.777200097333333,9.777245132,0.0003708147158159148,589577.8902080575,589575.1740061825,23210.666666666668,23552
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,16,3,3.3018464210000005,3.318528516,0.028915931033187528,1745907.140566692,1737041.2736269522,69632.0,70656
timing,dev-null,lr_splitseq_dual,seqproc,native-dual-orientation,32,3,3.7691510886666664,3.769124538,0.05013951527232308,1529548.9680499916,1529379.287387187,134144.0,134144
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,1,3,771.4357079863333,773.305536331,3.3655239053529082,7472.423519096704,7454.260611335699,116214.66666666667,117576
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,4,3,195.32756313166666,195.310558215,0.18097477302527262,29511.57638014866,29514.12894767554,161480.0,162164
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,16,3,52.16930875666666,52.189726844,0.231291341017556,110495.93561234877,110451.25829515062,331876.0,333872
timing,dev-null,lr_splitseq_dual,splitcode,dual-pass-no-reconciliation,32,3,28.049335095666667,27.799141722,0.7096474828235014,205596.80048799384,207359.6752606965,543054.6666666666,548380
