condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
lr_splitseq_forward-t16-r2-splitcode,4daf828b264de0e5463eaf1ab95e887f8f80a69e8566d7df94e18ea984a487e1,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/4daf828b264de0e5463eaf1ab95e887f8f80a69e8566d7df94e18ea984a487e1/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],25.994531752,384.98,0.66,334164,221755.1389267279,0,
lr_splitseq_forward-t16-r2-matchbox,fd32f35f25cad2f0eeae9554a0b94565483dc31dd45d9e3d885333ec7bca9b96,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/fd32f35f25cad2f0eeae9554a0b94565483dc31dd45d9e3d885333ec7bca9b96/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],7.926967529,25.92,1.13,319408,727191.1962438922,0,
lr_splitseq_forward-t16-r2-seqproc,a12ab0684310abf4fe76ffd5b22c1eff31c7187f48e1e23af710e5f357df6bd6,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/a12ab0684310abf4fe76ffd5b22c1eff31c7187f48e1e23af710e5f357df6bd6/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,16,2,5764421,,0,[],2.617656832,14.28,0.67,43008,2202130.1377368625,0,
lr_splitseq_forward-t1-r1-seqproc,2d379ab6ba37bb3e1283dda506d588db3f64d7d263527e3d05b13da2b2389c5c,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/2d379ab6ba37bb3e1283dda506d588db3f64d7d263527e3d05b13da2b2389c5c/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],14.332360511,13.72,0.55,9216,402196.20456629194,0,
lr_splitseq_forward-t1-r1-matchbox,2db9a74b6a0840d402b8ad1bc95776f467b9171da8a3479112ab8e40637430f8,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/2db9a74b6a0840d402b8ad1bc95776f467b9171da8a3479112ab8e40637430f8/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],21.692291448,20.79,0.82,327680,265735.9188547816,0,
lr_splitseq_forward-t1-r1-splitcode,632fe991c3de0fff2f58a2f78bd8abaf104ada17275e852ef5aa84e05832be47,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/632fe991c3de0fff2f58a2f78bd8abaf104ada17275e852ef5aa84e05832be47/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,1,1,5764421,,0,[],383.452087612,382.29,0.65,115528,15032.962881748057,0,
lr_splitseq_forward-t4-r1-splitcode,3db45dd8466af96727c55ca57b847c56bb7701820a82278a0428b5826bfa2680,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/3db45dd8466af96727c55ca57b847c56bb7701820a82278a0428b5826bfa2680/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],97.539551139,381.82,0.71,158104,59098.29328397603,0,
lr_splitseq_forward-t4-r1-matchbox,6686ddc3dfaba70e82f0f1dbb7420b8891a3cc063ccfe4336c0644017117a70c,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/6686ddc3dfaba70e82f0f1dbb7420b8891a3cc063ccfe4336c0644017117a70c/attempt-0001,lr_splitseq_forward,matchbox,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],9.075728817,20.66,0.96,327356,635146.8974262985,0,
lr_splitseq_forward-t4-r1-seqproc,f89909923c594b2803346233084c6127d037d8420931ce549a392e18c43919dd,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/f89909923c594b2803346233084c6127d037d8420931ce549a392e18c43919dd/attempt-0001,lr_splitseq_forward,seqproc,timing,dev-null,forward-only-supplementary,4,1,5764421,,0,[],3.668895571,13.75,0.58,15360,1571159.7368874797,0,
lr_splitseq_forward-t4-r3-splitcode,6e2d21f66bc4e74e9001bda3f0787d37d9d994817ae17807f5f9b1272b780e97,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/6e2d21f66bc4e74e9001bda3f0787d37d9d994817ae17807f5f9b1272b780e97/attempt-0001,lr_splitseq_forward,splitcode,timing,dev-null,forward-only-supplementary,4,3,5764421,,0,[],97.54316338,381.65,0.72,162120,59096.10474230244,0,
