measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,1,3,212.47829572,212.6238535,0.5352154331588597,103958.4511425476,103886.84353329153,3265388.0,3266836
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,4,3,84.20394904,84.223116103,0.033806161429859836,262325.2665223608,262265.53970036743,3262034.6666666665,3262964
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,16,3,70.48521975433333,70.553216605,0.16139004001003432,313383.4068059867,313080.2826987565,3255233.3333333335,3256336
timing,dev-null,scirnaseq3,matchbox,best-practical-uncompressed,32,3,73.52177805666666,73.255112281,1.3713368566187862,300508.498141898,301532.8256582186,3243634.6666666665,3245168
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,1,3,18.503936652,18.48732516,0.02891087183007598,1193738.2477651355,1194808.9195614061,9557.333333333334,10240
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,4,3,5.772215720999999,5.773089475,0.05010593006607115,3826941.338235082,3826169.868950455,14677.333333333334,15360
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,16,3,6.4222761340000005,6.42251253,0.0005535241820740476,3439406.9405478886,3439280.3278812757,39253.333333333336,39936
timing,dev-null,scirnaseq3,seqproc,best-practical-uncompressed,32,3,7.2893979810000005,7.022062898,0.7858368888084037,3052857.2965140394,3145631.322426813,75093.33333333333,75776
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,1,3,26.632076497666663,26.598594008,0.2004372490269868,829437.9012864042,830450.6995127785,54208.0,55124
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,4,3,12.949984454333332,12.980799713,0.053982037893663286,1705722.3181242493,1701653.3255557828,186446.66666666666,186940
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,16,3,11.731711997666666,11.730891879,0.15307115775877125,1883043.8486493733,1882961.7754420019,907433.3333333334,913024
timing,dev-null,scirnaseq3,splitcode,best-practical-uncompressed,32,3,10.410841302,10.427262056,0.028888831918778,2121724.261311654,2118372.0981952082,1870778.6666666667,1882248
