measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,splitseq_pe,matchbox,best-practical-uncompressed,1,3,10793.580365916,10791.8917621,107.63806832109319,7191.897767829502,7192.5462848504,12670238.666666666,12670716
timing,dev-null,splitseq_pe,matchbox,best-practical-uncompressed,4,3,2778.796009784,2763.629240806,28.25690853699625,27935.300383460544,28086.683934984758,12648242.666666666,12648992
timing,dev-null,splitseq_pe,matchbox,best-practical-uncompressed,16,3,868.6947651313334,868.831422087,5.508557623020548,89356.1990819999,89339.74880138191,12666677.333333334,12667588
timing,dev-null,splitseq_pe,matchbox,best-practical-uncompressed,32,3,573.477334908,573.719928611,1.4536186936140936,135352.36522209362,135294.5524969372,12675361.333333334,12677224
timing,dev-null,splitseq_pe,seqproc,best-practical-uncompressed,1,3,142.61100468766668,142.688877833,0.23474787825229837,544287.0379108075,543989.0072640852,10581.333333333334,11264
timing,dev-null,splitseq_pe,seqproc,best-practical-uncompressed,4,3,36.02840391266667,36.05910848,0.0542067632468498,2154447.3196842824,2152609.5422756276,18773.333333333332,19456
timing,dev-null,splitseq_pe,seqproc,best-practical-uncompressed,16,3,24.562053892999998,24.546991661,0.07601302225759979,3160227.4186777887,3162146.3873034883,49493.333333333336,51200
timing,dev-null,splitseq_pe,seqproc,best-practical-uncompressed,32,3,25.743602705,25.641477871,0.4106795004335206,3015672.7013958166,3027172.6688494817,94890.66666666667,97280
timing,dev-null,splitseq_pe,splitcode,best-practical-uncompressed,1,3,198.06354123166668,198.556395738,2.0467284411997664,391928.40038386575,390927.62895647564,170064.0,171344
timing,dev-null,splitseq_pe,splitcode,best-practical-uncompressed,4,3,64.86542069166667,65.048073068,0.7430122778803754,1196754.723482894,1193289.4755983981,278717.3333333333,278732
timing,dev-null,splitseq_pe,splitcode,best-practical-uncompressed,16,3,52.150122384333336,52.331781979,0.35765053786464823,1488464.856174672,1483251.2493296766,720381.3333333334,721624
timing,dev-null,splitseq_pe,splitcode,best-practical-uncompressed,32,3,49.830324315333336,49.780962515,0.2788629749602645,1557742.206423295,1559254.3229073,1316069.3333333333,1317740
