condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
tenx_v2-t16-r2-splitcode,16d0c13f8cea6e1c773e2c5761f33eb4df9b7d322c5eb2ae351041ea6e2b4a45,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/16d0c13f8cea6e1c773e2c5761f33eb4df9b7d322c5eb2ae351041ea6e2b4a45/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],69.350929426,144.65,5.03,633936,3379655.037645811,0,
tenx_v2-t16-r2-seqproc,0df8cefdba6ca6026df4cf2cb422740657fbefc7f64e2eba20b6ac84fce45c31,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/0df8cefdba6ca6026df4cf2cb422740657fbefc7f64e2eba20b6ac84fce45c31/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],42.266944322,132.62,9.11,39936,5545284.187435422,0,
tenx_v2-t16-r2-matchbox,ceaebf159b8333fa38545146245363ff548e6ab05f0b73ff1259ef6a5cbeb2e9,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/ceaebf159b8333fa38545146245363ff548e6ab05f0b73ff1259ef6a5cbeb2e9/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],521.104988773,1922.94,9.23,43520,449779.26339158486,0,
tenx_v2-t1-r3-matchbox,1021fd8161158f81ba8fbae0efabbd192d566143769a3d35f84ccec5d34914c9,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/1021fd8161158f81ba8fbae0efabbd192d566143769a3d35f84ccec5d34914c9/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],1397.952488226,1390.67,5.77,37680,167661.0757332896,0,
tenx_v2-t1-r3-splitcode,f9afc559fafba00b0fe30b47e5cc8eb439e927bc6fffd94919b4dd08c5711578,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/f9afc559fafba00b0fe30b47e5cc8eb439e927bc6fffd94919b4dd08c5711578/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],142.589776485,137.69,4.7,32224,1643751.9139014592,0,
tenx_v2-t1-r3-seqproc,242f04b3ef77e963029f43b8c373bd0c21db7c80bcf8df3ead7bd6d46a989b25,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/242f04b3ef77e963029f43b8c373bd0c21db7c80bcf8df3ead7bd6d46a989b25/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],102.244440534,97.2,4.92,9216,2292371.2700257706,0,
tenx_v2-t16-r3-splitcode,5cc6fb49aa5d7b1cb5ea682c9787de140b40697e63277976ed087b54d55dfe3e,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/5cc6fb49aa5d7b1cb5ea682c9787de140b40697e63277976ed087b54d55dfe3e/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],68.899661766,144.38,5.16,627404,3401790.5457361895,0,
tenx_v2-t16-r3-matchbox,ebf7053eb4693edecfec0de36bf2c2a9e3665775cd61aca34e000c98507e8d0c,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/ebf7053eb4693edecfec0de36bf2c2a9e3665775cd61aca34e000c98507e8d0c/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],518.002504661,1916.57,9.15,44824,452473.13650228083,0,
tenx_v2-t16-r3-seqproc,a96529b236eeaf3fa419ddb5581ee691604b31396e7902eaf7062941dab672cf,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/a96529b236eeaf3fa419ddb5581ee691604b31396e7902eaf7062941dab672cf/attempt-0001,tenx_v2,seqproc,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],42.317865811,131.64,8.77,40960,5538611.494416982,0,
tenx_v2-t1-r1-splitcode,1fbb04fbbf6d475937f82aa3ea5f9980e6a379230d080cec8c5d00bfe05d92cd,1,/scratch1/seqproc-ecosystem/publication-benchmark-2026-08-10-aligned-optimized/runs/1fbb04fbbf6d475937f82aa3ea5f9980e6a379230d080cec8c5d00bfe05d92cd/attempt-0001,tenx_v2,splitcode,timing,dev-null,best-practical-uncompressed,1,1,234382218,,0,[],144.299459876,139.76,4.32,31828,1624276.4747796722,0,
