measurement_track,sequence_output_policy,dataset,tool,execution_mode,threads,replicates,wall_seconds_mean,wall_seconds_median,wall_seconds_sd,input_records_per_second_mean,input_records_per_second_median,peak_rss_kib_mean,peak_rss_kib_max
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,1,3,1449.7546064113333,1469.910166645,45.22836879110495,161777.02684609612,159453.4300929194,37901.333333333336,38016
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,4,3,581.5607686243334,579.869915589,4.502202564472042,403038.7894263023,404197.92732638563,38920.0,39480
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,16,3,519.7531798136666,520.152046007,1.5892364822269869,450951.8932790728,450603.2799433529,43765.333333333336,44824
timing,dev-null,tenx_v2,matchbox,best-practical-uncompressed,32,3,571.1850734883334,571.820433223,5.040683495713667,410365.07940169674,409887.7976062024,43416.0,45664
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,1,3,101.77552844633334,101.689835413,0.43248045361953574,2302960.6399750183,2304873.609521416,9216.0,9216
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,4,3,36.07661880166666,36.060538014,0.07556438924384501,6496809.037664838,6499687.217894652,14336.0,14336
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,16,3,42.267097768666666,42.266944322,0.050691493185437315,5545269.373151514,5545284.187435422,39936.0,40960
timing,dev-null,tenx_v2,seqproc,best-practical-uncompressed,32,3,43.132264733,43.118409411,0.02425271976830047,5434035.72331442,5435780.70716603,77141.33333333333,77824
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,1,3,143.078294442,142.589776485,1.064581405309694,1638199.8049644448,1643751.9139014592,31794.666666666668,32224
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,4,3,69.58701449466666,69.601379971,0.32591751338729014,3368238.29064134,3367493.835577072,152140.0,153072
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,16,3,69.16715281766666,69.250867261,0.23699516083124214,3388661.320679012,3384538.3786550355,631556.0,633936
timing,dev-null,tenx_v2,splitcode,best-practical-uncompressed,32,3,68.03384091333334,68.077915974,0.1193080684337251,3445089.911006252,3442852.4235306224,1276361.3333333333,1277884
