condition_id,run_id,attempt,attempt_dir,dataset,tool,measurement_track,sequence_output_policy,execution_mode,threads,replicate,input_records,emitted_records,non_nominal_sequence_records,output_length_validity_json,wall_seconds,user_cpu_seconds,system_cpu_seconds,peak_rss_kib,input_records_per_second,output_bytes,normalized_output_sha256
tenx_v2-t16-r2-matchbox,e09b91e6e494c89b0f9b3a9ca34c2634199c271759276fb28950baf38d85bbb0,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/e09b91e6e494c89b0f9b3a9ca34c2634199c271759276fb28950baf38d85bbb0/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,2,234382218,,0,[],473.072869341,1563.38,10.95,40816,495446.33224581054,0,
tenx_v2-t1-r3-matchbox,0a839b8f7fb3d26817bb5dfdf4e73ceb3f87d8cfba6156a287dfeef0a65d6cef,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/0a839b8f7fb3d26817bb5dfdf4e73ceb3f87d8cfba6156a287dfeef0a65d6cef/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,3,234382218,,0,[],1078.737838259,1069.97,7.29,38128,217274.49403116785,0,
tenx_v2-t16-r3-matchbox,2581368c0edfc6469a1874df18652dc196376aa0573a2439d237a04b8a1665e0,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/2581368c0edfc6469a1874df18652dc196376aa0573a2439d237a04b8a1665e0/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,3,234382218,,0,[],475.12896735,1569.58,11.24,39300,493302.311806521,0,
tenx_v2-t1-r1-matchbox,35bdfe8a95551f3607f4d862d75d2e4d960c8546c67f6b242f226152f4d87db6,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/35bdfe8a95551f3607f4d862d75d2e4d960c8546c67f6b242f226152f4d87db6/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,1,234382218,,0,[],1071.835127847,1064.06,6.32,38108,218673.76046053335,0,
tenx_v2-t16-r1-matchbox,3493dfae10b6aa97aa9c216c27cfd5b58d8d72b511c7c05d92659ed68f3aa5ee,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/3493dfae10b6aa97aa9c216c27cfd5b58d8d72b511c7c05d92659ed68f3aa5ee/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,16,1,234382218,,0,[],470.813400615,1566.89,9.57,41504,497824.0162532295,0,
tenx_v2-t32-r2-matchbox,51151ccfe0084b20647c08f73fc4fbde70d0f22514ff6d181f2f5aa468c93a1e,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/51151ccfe0084b20647c08f73fc4fbde70d0f22514ff6d181f2f5aa468c93a1e/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,32,2,234382218,,0,[],517.428634101,2123.3,21.87,37140,452974.9661172589,0,
tenx_v2-t4-r2-matchbox,ac8f8fb7782531916e1127659b60f1233a22d384c86b7e213c09e9174e3ce1c6,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/ac8f8fb7782531916e1127659b60f1233a22d384c86b7e213c09e9174e3ce1c6/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,4,2,234382218,,0,[],473.444757742,1078.49,7.15,39324,495057.16172218084,0,
tenx_v2-t32-r1-matchbox,da63827d40e1ab3a5f9e61497c0adf3982c6c50a2e9d54e7d8d1eea89bc6d4bf,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/da63827d40e1ab3a5f9e61497c0adf3982c6c50a2e9d54e7d8d1eea89bc6d4bf/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,32,1,234382218,,0,[],522.787524835,2113.96,21.3,39648,448331.69665625575,0,
tenx_v2-t4-r3-matchbox,4a7c87c6f39ca76bcb6b35812ffa456a0696a294ad2b370b140f2a7f61c6887b,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/4a7c87c6f39ca76bcb6b35812ffa456a0696a294ad2b370b140f2a7f61c6887b/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,4,3,234382218,,0,[],476.650917257,1084.25,7.01,36424,491727.1938734697,0,
tenx_v2-t1-r2-matchbox,b3826d255c825249aaba044d3e98618820f7f05a7893b83de52240eb24715f2d,1,/scratch1/seqproc-ecosystem/campaigns/tenx-matchbox-direct-2026-08-27/runs/b3826d255c825249aaba044d3e98618820f7f05a7893b83de52240eb24715f2d/attempt-0001,tenx_v2,matchbox,timing,dev-null,best-practical-uncompressed,1,2,234382218,,0,[],1075.023689088,1067.51,6.14,38112,218025.16575131376,0,
