dataset,left,right,intersection_records,union_records,left_only_records,right_only_records,jaccard
splitseq_pe,seqproc,matchbox,53562165,61617945,5166372,2889408,0.8692624364541855
splitseq_pe,seqproc,splitcode,54613534,60415759,4115003,1687222,0.9039617295878051
splitseq_pe,matchbox,splitcode,50999025,61753304,5452548,5301731,0.8258509536590949
lr_splitseq_dual,seqproc,matchbox,2498973,2865921,366910,38,0.871961578843241
lr_splitseq_dual,seqproc,splitcode,1921168,2866737,944715,854,0.6701584414614944
lr_splitseq_dual,matchbox,splitcode,1820441,2600592,678570,101581,0.7000102284402936
tenx_v2,seqproc,matchbox,234382218,234382218,0,0,1.0
tenx_v2,seqproc,splitcode,234382218,234382218,0,0,1.0
tenx_v2,matchbox,splitcode,234382218,234382218,0,0,1.0
scirnaseq3,seqproc,matchbox,19879895,19980569,0,100674,0.9949614047527876
scirnaseq3,seqproc,splitcode,19695955,19879895,183940,0,0.9907474360402809
scirnaseq3,matchbox,splitcode,19695955,19980569,284614,0,0.9857554607178605
