dataset,tool,input_records,reference_records,emitted_records,intersection_records,emitted_fraction,precision,recall,f1
splitseq_pe,seqproc,77621181,60675548,58728537,58370817,0.7566045278285575,0.9939089236975204,0.9620154893368248,0.9777021782797465
splitseq_pe,matchbox,77621181,60675548,56451573,54313368,0.7272702150718372,0.9621231989407983,0.8951442515195742,0.9274259887255318
splitseq_pe,splitcode,77621181,60675548,56300756,55414315,0.725327227371096,0.9842552558264049,0.9132890732194129,0.9474451338452273
lr_splitseq_dual,seqproc,5764421,601603,2865883,593912,0.4971675385958104,0.20723525698711356,0.9872158217296124,0.3425605755870391
lr_splitseq_dual,matchbox,5764421,601603,2499011,551050,0.4335233321785484,0.22050723266124078,0.9159695014818743,0.35544572784616213
lr_splitseq_dual,splitcode,5764421,601603,1922022,464629,0.33342845708181273,0.24173968872364623,0.7723182896361886,0.3682234880380405
tenx_v2,seqproc,234382218,234382218,234382218,234382218,1.0,1.0,1.0,1.0
tenx_v2,matchbox,234382218,234382218,234382218,234382218,1.0,1.0,1.0,1.0
tenx_v2,splitcode,234382218,234382218,234382218,234382218,1.0,1.0,1.0,1.0
scirnaseq3,seqproc,22088821,19767975,19879895,19767975,0.8999980125693444,0.9943701915930643,1.0,0.9971771497434793
scirnaseq3,matchbox,22088821,19767975,19980569,19767975,0.9045557026334724,0.9893599626717338,1.0,0.994651527361606
scirnaseq3,splitcode,22088821,19767975,19695955,19693957,0.8916707233944265,0.9998985578510917,0.9962556609870258,0.9980737853528526
